Year;Country of origin;Country of asylum;Refugees;Asylum-seekers
2020;Kuwait;Germany;30;45
2020;Kuwait;Greece;118;58
2020;Kuwait;Italy;13;0
2020;Kuwait;Spain;0;5
2020;Kuwait;Switzerland;6;0
2020;Libya;France;1125;674
2020;Libya;United Kingdom of Great Britain and Northern Ireland;4140;750
2020;Libya;Germany;2112;1089
2020;Libya;Greece;41;35
2020;Libya;Italy;1479;251
2020;Libya;Portugal;15;0
2020;Libya;Spain;57;110
2020;Libya;Switzerland;329;41
2020;Lebanon;France;155;56
2020;Lebanon;United Kingdom of Great Britain and Northern Ireland;182;132
2020;Lebanon;Germany;1646;2269
2020;Lebanon;Greece;62;77
2020;Lebanon;Italy;367;62
2020;Lebanon;Spain;27;80
2020;Lebanon;Switzerland;46;18
